Zave App,2013-10-23,4
aQtivity,2013-10-23,2
Kingdom Come Gaming,2013-10-23,1
SwaggSnag,2013-10-23,3
"Offkey Media, LLC",2013-10-23,2
Domino Bracelet 2,2013-10-22,3
Surrogates,2013-10-21,3
InAppFuel,2013-10-21,3
Singchana.com,2013-10-19,4
Med Infinity,2013-10-18,1
Akamon Entertainment,2013-10-18,2
xsolla,2013-10-18,2
Kibitz,2013-10-17,5
eelusion,2013-10-17,7
Metric Gaming LLC,2013-10-17,11
PopAppFactory,2013-10-17,3
PopAppFactory,2013-10-17,2
iZOOlogic,2013-10-17,1
ethTV Inc,2013-10-16,3
Rip Smart,2013-10-16,2
Budding Biologist,2013-10-16,7
Fantasy Aces LLC,2013-10-16,2
livecube,2013-10-16,5
Nerdies,2013-10-16,3
TradeHero,2013-10-16,5
Moonfrog Labs,2013-10-16,11
Avenueplanet ,2013-10-16,4
Virtuix,2013-10-15,20
ShardLine,2013-10-15,11
You Rather,2013-10-15,4
Spoolster Group Pte Ltd,2013-10-14,3
"Mobile CAPPtivate, LLC",2013-10-11,1
F Link Platforms,2013-10-11,2
Rayku,2013-10-10,1
Arqetype,2013-10-10,8
Adikteev,2013-10-10,7
"DRESY, s.r.o.",2013-10-10,4
Smart Island,2013-10-10,1
Myst,2013-10-10,3
Epithia,2013-10-09,2
20 Questions,2013-10-09,2
devanium.com,2013-10-09,1
delete mesdfdsfds sdfsdfdsfdsf,2013-10-09,1
"Gaming Network Solutions, LLC",2013-10-09,2
0bit,2013-10-09,3
Astral Battles,2013-10-08,1
"prostox, llc ",2013-10-08,5
Neriad Games,2013-10-08,1
Synoptic-Entertainment,2013-10-08,2
Pyset LLC,2013-10-08,1
Virtalinx Corporation,2013-10-07,3
League I/O,2013-10-07,3
Replay Games Inc,2013-10-07,4
Dragon Army,2013-10-07,12
TouchTilt Games Inc.,2013-10-07,4
Camopulse,2013-10-07,11
SqueePlay,2013-10-06,5
NuclearResearch.net,2013-10-06,2
"Glowstick Games, Inc.",2013-10-06,1
"RealTime Games, LLC",2013-10-04,2
MiCMALi,2013-10-04,4
