Fonder Creative Labs Inc. (Floret),2013-11-19T19:12:58Z,2
Funordie Ltd.,2013-11-19T17:23:33Z,6
GameGenetics,2013-11-19T17:17:30Z,1
Dreamatrix,2013-11-19T13:19:14Z,1
LevelA,2013-11-19T00:13:10Z,1
BenBen Information Technology Limited,2013-11-18T12:50:46Z,1
Best Friends Game,2013-11-18T10:03:47Z,2
HealthGames,2013-11-18T05:00:22Z,6
Stump Riddles,2013-11-17T22:37:21Z,2
OpenLap,2013-11-17T00:59:42Z,2
Augo,2013-11-16T19:45:03Z,7
BBCOnline pty ltd,2013-11-16T02:26:48Z,1
Adorkable,2013-11-15T22:26:46Z,2
Dog on a Horse,2013-11-15T18:37:43Z,1
SQBA,2013-11-15T13:48:01Z,4
ComAngle Academy,2013-11-15T10:22:42Z,2
hitbox Entertainment GmbH,2013-11-15T08:57:41Z,2
Fariqak,2013-11-15T07:10:58Z,2
OnyxRing Studios,2013-11-15T02:03:41Z,1
Movyl,2013-11-14T20:50:34Z,2
Destroyers Inc.,2013-11-14T19:40:44Z,1
GLO Gaming,2013-11-14T19:25:13Z,4
MonkeyMafia 2D,2013-11-14T18:03:01Z,1
Shinobis,2013-11-14T17:11:28Z,2
Dream Big Studios LLC,2013-11-14T07:42:51Z,1
Bizarre Dragon,2013-11-14T01:05:07Z,1
Impact,2013-11-13T19:20:11Z,
V R Game Studios,2013-11-13T08:19:30Z,5
Tradex International Inc.,2013-11-13T07:04:33Z,1
Michael Quin,2013-11-13T00:04:34Z,1
Flow Studios,2013-11-12T17:54:01Z,6
Morf Media,2013-11-12T17:39:34Z,2
Uptimal,2013-11-12T14:11:44Z,6
Stat-Me,2013-11-12T09:48:50Z,1
Imagination Apps,2013-11-12T09:43:08Z,3
SharkWave,2013-11-12T05:37:05Z,1
Knoda,2013-11-11T22:47:12Z,8
Mana,2013-11-11T16:38:12Z,2
Animal Vegetable Mineral Limited,2013-11-11T15:36:54Z,5
Twenty Percent Games,2013-11-10T20:48:54Z,1
Hypereight,2013-11-10T09:14:05Z,2
Social Hangman,2013-11-10T05:54:14Z,1
Lunar Entertainment,2013-11-10T04:56:15Z,2
faynodev,2013-11-08T21:56:32Z,1
Shreeng.com,2013-11-08T06:24:06Z,1
The Pratley Co.,2013-11-08T02:11:38Z,3
Epithia,2013-11-08T01:29:18Z,1
Zooked Fantasy Sports,2013-11-07T22:05:56Z,1
"XCONNS, LLC",2013-11-07T21:44:50Z,1
Puzzlium,2013-11-07T19:33:49Z,18
Hikee,2013-11-07T17:35:33Z,3
HostelBench.com,2013-11-07T15:36:55Z,4
Mobile Games Company,2013-11-07T10:42:53Z,4
Chatty Kidz,2013-11-07T00:40:14Z,2
InnovativeU,2013-11-07T00:04:19Z,3
bluffgenius,2013-11-06T19:05:03Z,2
Hypo,2013-11-06T12:48:10Z,2
Sortie,2013-11-06T05:37:11Z,3
Game Related Inc,2013-11-06T02:10:15Z,1
Insane Gorilla,2013-11-05T23:05:49Z,4
Yakmob,2013-11-05T18:08:21Z,1
Game Made Studio,2013-11-04T20:09:15Z,7
Unlimited Capital,2013-11-04T18:58:28Z,3
Salt Rights Inc.,2013-11-03T05:47:45Z,4
Wads,2013-11-02T17:23:21Z,1
Hot buttered comedy LLC,2013-11-02T12:02:34Z,2
4ernika,2013-11-02T09:32:09Z,4
Gamedistribution.com,2013-11-01T20:35:41Z,1
Looking for Gamers,2013-11-01T18:29:24Z,2
Kountermove - fantasy MMA,2013-10-31T20:22:43Z,41
Nimbus Gaming,2013-10-30T16:32:18Z,2
Touraco,2013-10-30T12:31:25Z,3
POWZY,2013-10-30T11:26:00Z,2
hellowins,2013-10-30T09:05:23Z,4
Memorial,2013-10-30T06:51:54Z,2
Havina Productions,2013-10-29T18:05:25Z,8
Rammin'Speed,2013-10-29T17:16:40Z,1
bombsquare,2013-10-29T15:01:23Z,6
Halla Vision,2013-10-29T14:09:42Z,8
Virtual World Search,2013-10-29T12:20:43Z,2
Galaxy Corporation,2013-10-29T12:17:48Z,2
Fraktalia Studios,2013-10-29T12:02:01Z,3
"Blissy, Inc.",2013-10-29T09:16:39Z,4
n00b gaming,2013-10-29T02:26:59Z,2
Backup Entertainment,2013-10-29T02:11:25Z,1
Reactive Studios,2013-10-29T00:13:31Z,11
Bossa Studios,2013-10-28T17:01:11Z,3
Vircuit S.r.l.,2013-10-28T10:11:38Z,6
Products for Robots,2013-10-28T05:53:40Z,16
LiveRe,2013-10-28T05:11:01Z,7
speedoodle,2013-10-28T04:35:52Z,2
Overwatch,2013-10-27T18:41:25Z,3
Orto,2013-10-26T21:39:39Z,3
Curliston,2013-10-26T11:53:42Z,1
Bind Creative,2013-10-26T06:34:48Z,2
Pillar Games,2013-10-26T00:20:08Z,5
Shotgun Gaming,2013-10-25T22:03:08Z,1
"Black Code, LLC",2013-10-25T21:05:06Z,2
Cyber World Cafe,2013-10-25T17:20:54Z,5
RoyalCactus,2013-10-25T15:46:55Z,60
Crystal Rain,2013-10-25T09:29:13Z,4
Inventure Cloud,2013-10-25T08:56:32Z,3
Sportsbox360,2013-10-25T05:03:44Z,2
The Unique Wonders Co.,2013-10-24T23:07:35Z,1
LearnPeaks,2013-10-24T16:56:17Z,2
@tack Gaming Center & Lounge,2013-10-24T14:33:58Z,1
"MIC Co.,Ltd",2013-10-24T06:43:01Z,2
Jamo,2013-10-23T21:08:06Z,3
Zave App,2013-10-23T15:39:44Z,4
aQtivity,2013-10-23T14:19:11Z,2
Kingdom Come Gaming,2013-10-23T12:33:16Z,1
SwaggSnag,2013-10-23T08:05:51Z,3
"Offkey Media, LLC",2013-10-23T04:05:06Z,2
Domino Bracelet 2,2013-10-22T16:34:31Z,3
Surrogates,2013-10-21T10:39:13Z,3
InAppFuel,2013-10-21T03:32:53Z,3
Singchana.com,2013-10-19T15:37:03Z,4
Med Infinity,2013-10-18T10:52:58Z,1
Akamon Entertainment,2013-10-18T10:50:12Z,2
xsolla,2013-10-18T07:13:50Z,2
Kibitz,2013-10-17T21:34:50Z,5
eelusion,2013-10-17T18:26:01Z,7
Metric Gaming LLC,2013-10-17T17:14:42Z,11
PopAppFactory,2013-10-17T11:23:00Z,3
PopAppFactory,2013-10-17T11:19:19Z,2
iZOOlogic,2013-10-17T07:24:28Z,1
ethTV Inc,2013-10-16T22:08:11Z,3
Rip Smart,2013-10-16T21:58:50Z,2
Budding Biologist,2013-10-16T20:24:36Z,7
Fantasy Aces LLC,2013-10-16T16:58:42Z,2
livecube,2013-10-16T15:18:36Z,5
Nerdies,2013-10-16T12:33:03Z,3
TradeHero,2013-10-16T11:14:54Z,5
Moonfrog Labs,2013-10-16T11:13:13Z,11
Avenueplanet ,2013-10-16T10:43:13Z,4
Voxcore,2013-10-15T22:40:31Z,
Virtuix,2013-10-15T17:38:13Z,20
ShardLine,2013-10-15T15:08:11Z,11
You Rather,2013-10-15T14:09:31Z,4
Spoolster Group Pte Ltd,2013-10-14T05:44:50Z,3
"Mobile CAPPtivate, LLC",2013-10-11T22:53:50Z,1
F Link Platforms,2013-10-11T07:33:50Z,2
Rayku,2013-10-10T20:33:29Z,1
Arqetype,2013-10-10T16:52:33Z,8
Adikteev,2013-10-10T15:04:35Z,7
"DRESY, s.r.o.",2013-10-10T12:16:24Z,4
Smart Island,2013-10-10T11:59:11Z,1
Myst,2013-10-10T01:53:21Z,3
Epithia,2013-10-09T23:06:18Z,2
20 Questions,2013-10-09T20:00:01Z,2
devanium.com,2013-10-09T18:42:35Z,1
delete mesdfdsfds sdfsdfdsfdsf,2013-10-09T01:27:59Z,1
"Gaming Network Solutions, LLC",2013-10-09T01:09:34Z,2
0bit,2013-10-09T00:00:32Z,3
Astral Battles,2013-10-08T17:04:58Z,1
"prostox, llc ",2013-10-08T12:19:51Z,5
Neriad Games,2013-10-08T10:17:14Z,1
Synoptic-Entertainment,2013-10-08T06:26:49Z,2
Pyset LLC,2013-10-08T00:00:57Z,1
Virtalinx Corporation,2013-10-07T21:20:26Z,3
League I/O,2013-10-07T18:36:14Z,3
Replay Games Inc,2013-10-07T17:20:50Z,4
Dragon Army,2013-10-07T17:15:51Z,12
TouchTilt Games Inc.,2013-10-07T16:07:22Z,4
Camopulse,2013-10-07T12:59:22Z,11
SqueePlay,2013-10-06T19:41:44Z,5
NuclearResearch.net,2013-10-06T17:16:17Z,2
"Glowstick Games, Inc.",2013-10-06T00:38:11Z,1
"RealTime Games, LLC",2013-10-04T21:15:47Z,2
MiCMALi,2013-10-04T04:27:55Z,4
"Abyss Gaming, LLC",2013-10-03T22:47:57Z,3
bitClass,2013-10-03T21:45:56Z,5
Yourcles.com,2013-10-03T16:39:26Z,3
RTL Management,2013-10-03T14:25:06Z,5
BitCoin Enabling Video and Gaming,2013-10-03T04:23:53Z,6
Wazza,2013-10-02T19:44:41Z,1
Imaginary Computer,2013-10-02T19:06:18Z,4
Back Row Sports,2013-10-02T17:20:07Z,2
Astuceclub,2013-10-02T14:49:36Z,3
2Coders,2013-10-02T13:19:27Z,1
2d geek,2013-10-02T09:38:11Z,2
the Brick Box Studio,2013-10-02T00:50:09Z,2
Ownits,2013-10-01T21:54:39Z,2
Polymorph,2013-10-01T20:47:08Z,2
"Copingo, Inc.",2013-10-01T20:38:41Z,2
Luckyprice,2013-10-01T09:33:37Z,10
BetBoost,2013-10-01T00:54:42Z,3
GAMRS.net,2013-09-30T23:05:03Z,1
Koinup,2013-09-30T18:43:57Z,2
Popcorn Games,2013-09-30T16:24:04Z,4
Animus Interactive LLC,2013-09-30T14:30:42Z,2
MoreGames,2013-09-30T11:46:32Z,2
BlackPunch Studio,2013-09-30T04:27:43Z,6
SportsNutzz,2013-09-29T23:06:30Z,3
MyLeague ,2013-09-29T09:02:24Z,5
Tap My Back,2013-09-28T11:01:35Z,4
Dinosaur  Games,2013-09-27T16:09:42Z,3
Dynasty Sports and Gaming LLC,2013-09-27T01:16:19Z,3
The Brothers Lewis,2013-09-26T21:23:32Z,2
Syncalike.com,2013-09-26T18:51:18Z,4
Ntice,2013-09-26T11:38:18Z,5
Oobat,2013-09-26T05:21:35Z,1
BinaryBeast,2013-09-26T03:59:56Z,7
E Marketing Map Generator (EMMG),2013-09-26T00:59:07Z,4
Reaction Games,2013-09-25T23:48:11Z,5
Miscellaneum Studios,2013-09-25T21:47:39Z,3
PRESTIGE OPTICAL MASTERING ,2013-09-25T14:35:17Z,1
Bigglesworth Studios,2013-09-25T08:33:41Z,3
TribeMind,2013-09-24T05:51:00Z,1
GetGetOne,2013-09-23T22:10:57Z,1
Plumbee,2013-09-23T20:37:21Z,3
Rocket Alien,2013-09-23T05:32:23Z,2
FoodieQuest,2013-09-23T03:16:12Z,3
Wulfengame,2013-09-22T16:15:52Z,1
PixelOxygen,2013-09-22T15:09:22Z,2
Puzzling Ideas,2013-09-21T00:03:28Z,2
Ncite Factory,2013-09-20T19:06:04Z,2
Benmari,2013-09-20T17:08:11Z,3
Game Day Ready,2013-09-20T16:35:46Z,2
Everyplay,2013-09-19T22:53:20Z,8
Nuggeta,2013-09-19T20:13:30Z,16
Panopticon Labs,2013-09-19T18:40:21Z,10
Sociallgreen,2013-09-19T17:56:17Z,12
Playerking,2013-09-18T22:27:34Z,5
Social Token,2013-09-17T19:16:35Z,1
Social Token,2013-09-17T19:12:29Z,2
